TitleSort	Title	Subtitle	Author	AuthorLast	Cost	Shipping	About	Year	Ext-type	Extent	Type	POD	OOP	ISBN	Series	SeriesNo	Edition	Volumes	EditionNote	Features	Image	URL
Baptists N	Baptists in the ‘Never Never’	Baptist Origins on the Darling Downs Queensland, 1875-2013	David Parker	Parker	$15.00			2020	pp	64	book	PoD							with illustrations		bap-nevernever.jpg	
Baptists Q	Baptists in Queensland	a Guide to their Life and Faith	David Parker (ed.)	Parker	$6.00	$2.50		2013	pp	52	book			978 0 9578214 8 4	Baptist Historical Series	1	3rd		updated and revised	Full Colour Cover	bap-qld.jpg	
Cameos 	Cameos of Baptist Men in 19th Century Queensland		Mel Williams	Williams	$5.00	$1.10		1995	pp	62	book			0 646 23181 2	Baptist Historical Series	2						
Christian 	Christian Camping – The Call of Christ	A History of Baptist Camping in Qld	Joan Maxwell	Maxwell	$10.00	$2.50		1991, 1993	pp	94 + 115	book			0 9596078 3 8; 0 9596078 4 6				2			camping-generic.jpg	
Coleyville	Coleyville, Engelsburg (Kalbar), Boonah & Highfields Baptist Cemeteries (Qld) Monumental Inscriptions		Rosemary and Eric Kopittke	Kopittke	$15.00	$3.00		1997	pp	92	book	PoD		0 9586622 3 1						(Fiche contains extra material $15.00  with free postage)		
Commitment	The Commitment to Ministry	Baptist Camping in Queensland 1990-2020	David Parker	Parker				2020	pp	80	book			978-0-9578214-5-3	Baptist Historical Series	18				30 color photos	camping3.jpg	
Fellowship	A Fellowship of Service,		J.E. White	White	$7.50	$2.50	official history of Baptist Union of Qld, 1977	1977	pp		book										afos-cov3.jpg	
Fortitude	Fortitude	Dr Lang's Vision for Queensland and the United Evangelical Church	David Parker & Angus Edmonds	Parker	$8.00	$1.20		1999	pp	52	book			0-9586622-9-0	Baptist Historical Series	10						
Fruit 	Fruit from the tree of experience	The Joshua Jenyns History of the Baptist Church in Brisbane	David Parker (ed.)	Parker	$10.00	$2.60		1996	pp	36	book	PoD		0 9586622 0 7	Documents of Queensland Baptist History	2						
Gregory 	The Gregory History of Queensland Baptists		David Parker (ed.)	Parker	$10.00	$2.20		1995	pp		book	PoD		0 646 25647 5	Documents of Queensland Baptist History	1						
HACK	HACK	A Biography of the Life and Work of Rev Harold George Hackworthy MC MA 1891-1953	R. W. (Bill) Hughes	Hughes	$15.00	$2.00		2009	pp	122	book				Baptist Historical Series	15					hack.jpg	
James 	James Voller	Pioneer Baptist Minister of Australia	David Parker	Parker	$7.50	$1.10		1997	pp	60	book			646339907	Baptist Historical Series	4					Voller-s.jpg	
Joshua 	The Joshua Jenyns History of the Baptist Church in Brisbane		David Parker (ed.)	Parker	$10.00	$2.20		1996	pp	36	book			0 9586622 0 7	Documents of Queensland Baptist History	2						
Marburg 	Marburg Baptist Church		Richard Scanlan and David Parker	Scanlan	$7.50	$2.20		2000	pp	40	book			0 9578214 17	Baptist Historical Series	12					marb.jpg	
