Original	Article	Author	PostAuthor	No	Month	Year
Pastoral Profiles 01 - Rev. W. Poole, Higlett, Rev. W., Poole, Rev. William, 30 - April 1955	Pastoral Profiles 01 - Rev. W. Poole	Higlett, Rev. W.	Poole, Rev. William	30	4	1995
Printing and publishing your church history, Ward, John, HISTORY - LOCAL CHURCH, 01 - September 1984	Printing and publishing your church history	Ward, John	HISTORY - LOCAL CHURCH	1	9	1984
Researching and writing your church history, Holt, L., HISTORY - LOCAL CHURCH, 01 - September 1984	Researching and writing your church history	Holt, L.	HISTORY - LOCAL CHURCH	1	9	1984
Why write your church's history, Parker, David, HISTORY - LOCAL CHURCH, 01 - September 1984	Why write your church's history	Parker, David	History - Local Church	1	9	1984
City Tabernacle Listed on the National Trust, CITY TABERNACLE BAPTIST CHURCH, 02 - March 1985	City Tabernacle Listed on the National Trust		CITY TABERNACLE BAPTIST CHURCH	2	3	1985
Lamplighter and Son (Review), Skinner, C.P., Book Review, 02 - March 1985	Lamplighter and Son (Review)	Skinner, C.P.	Book Review	2	3	1985
National Baptist history, BAPTIST HISTORY - AUSTRALIAN, 02 - March 1985	National Baptist history		BAPTIST HISTORY - AUSTRALIAN	2	3	1985
Queensland's first missionary, PLESTED, MARTHA, 02 - March 1985	Queensland's first missionary		PLESTED, MARTHA	2	3	1985
The Ipswich Baptists (Review), White, J.E., IPSWICH BAPTIST CHURCH, 02 - March 1985	The Ipswich Baptists (Review)	White, J.E.	IPSWICH BAPTIST CHURCH	2	3	1985
Our first year, BHSQ - REPORT, 03 - July 1985	Our first year			3	7	1985
Recent acquisitions for Baptist archives, ARCHIVES - ACQUISITIONS, 03 - July 1985	Recent acquisitions for Baptist archives		ARCHIVES - ACQUISITIONS	3	7	1985
Windsor Road Baptist Church, Robinson, B., WINDSOR ROAD BAPTIST CHURCH, 03 - July 1985	Windsor Road Baptist Church	Robinson, B.	WINDSOR ROAD BAPTIST CHURCH	3	7	1985
Baptist Historical Society of Q. Programme, BHSQ, 01 - September 1985	Baptist Historical Society of Q. Programme			1	9	1985
Baptist archives, Queensland, ARCHIVES, 04 - March 1986	Baptist archives		ARCHIVES	4	3	1986
Eric Stanley Jones, Van Donge, P., JONES, E.S., 04 - March 1986	Eric Stanley Jones	Van Donge, P.	JONES, E.S.	4	3	1986
The English Baptists of the 17th Century (Review), White, B.R., Book Review, 04 - March 1986	The English Baptists of the 17th Century (Review)	White, B.R.	Book Review	4	3	1986
