Date_added	Author	Title	Publisher	Date_of_Pub	Notes
	Abrahams, Neville	The life and ministry of Rev Neville and Mrs Miriam Abrahams		1904	typical text book for theological students
	Angus, Joseph	The Bible Hand-Book: an introduction to the study of sacred Scripture	RTS	1982	
	Ansell, L.J.	Register of Church Archives	Church Archivists' Society	1985	
	Ansell, L.J.	Register of Church Archives (2nd ed)	Church Archivists' Society	1987	
	Ansell, L.J.	The Small Archive's Companion	Church Archivists' Society	1982	also 2nd edition 1985
	Ansell, Leo J & Winston Maike	The Small Archives	CAS		Donated and inscribed by author
	Baker, Rev Ron	Just one in the crowd	Ark House Press, Mona Vale	1984	
	Balders, G	Ein Herr, ein Glaube, eine Taufe: 150 Jahre Baptistengemeinden in Deutschsland 1834-1984	Wuppertal, Oncken	2004	
	Ball, GB and JW Mallice	Striving for Excellence: Baptist Community Services NSW and ACT		2005	2 versions - standard, and devotional edition
	Ball, Les J.	Grow the Vision		1949	
	Bardon, Richard	The Centenary history of the Presbyterian Church of Queensland	Presbyterian Church	No d	Life of Silas Mead, Missionary doctor
	Barry, Walter	There was a man: the life of Cecil Silas Mead	ABMS	1988	Rev Dr Stan Nickerson
	Brainwood, EW	Golden Harvest	Mission Publications of Aust, Australia	1988	* 5 extra copies
	Brown, B.S.	Baptised into one body: a short history of the BU of Aust	Baptist Union of Australia BUA	1962	
	Brown, Basil S.	Members one of another	Baptist Union of Victoria	1986	Vol 2: History of the English Baptists
	Brown, Raymond	The English Baptists of the 18th Century	BHS	1898	W Bell memorial
	Bruce, AB	The Training of the Twelve	T & T Clark, Edinburgh	1987	
	Caddy, Wes R	How to be a Successful Pastor	Mission Publications Australia	1934	R G Smith
	Carey, S Pearce	William Carey	The Carey Press, London	2008	contains contribution by Gwen Patterson, Toowong Baptist Church pp 52-57
	Chamberlain, Leigh; L Salter	Toowong: a tram ride from the past	Toowong & District Historical Society	1983	Papers presented to a summer school July 1982
	Clements, K.W. (editor)	Baptists in the 20th century	BHS	2014	
	Cohen, Kay et al	Lost Brisbane and surrounding areas 1860-1960	RHSQ	1992	
	Conwell, Rev Roy	Yours faithfully Jehovah Jireh	Bethel Ministries	2000	
	Conwell, Roy E	Miracles are normal	Bethel Ministries	1947	5th ed - 1964
	Cook, Henry	What Baptists stand for	Carey Kingsgate	1947	
	Crago T H and W J Bligh	Champions of Liberty: Story of the Baptists and what they believe	AB YP Board		
	Cran, Rev Doug	What He's done for others		2013	History of ABMS edited by Tony Cupit, Ros Gooden, Ken Manley
	Cupit, Tony et al (ed)	From Five Barley Loaves	Mosaic	1944	from the library of J.E. White
	Dakin, A.	The Baptist view of the church and ministry	Baptist Union Gt Britain	1981	
	Dart, Harold W.	Happenings - historic, heroic and hereditary	The author	1963	
	Estep, William R.	The Anabaptist story	Eerdmans	2009	
	Fisher, Rod	Boosting Brisbane: imprinting the colonial capital of Queensland	Boolarong	1995	Brisbane History Group Papers 14
	Fisher, Rod & Barry Shaw	Brisbane: People, places and progress	BHG	1994	Brisbane History Group Papers 13
	Fisher, Rod & Barry Shaw	Brisbane: Cemeteries as Sources	BHG	1962	from the library of J.E. White
	Garrett, James Leo, Jnr	Baptist church discipline	Broadman	1935	repub. 1991
	Gomm, Leslie J.	Blazing western trails: the story of William Kennedy			presented to Mrs H. Brooks Treasurer Toowong QBWU 1948-1961
	Hallesby, O.	Prayer		1995	
	Hancox, Phil	My adventures in evangelism		ND	
	Hancox, Phil	10 Soul searching sermons		1993	
	Hancox, Phil	Why weepest thou?		1984	
	Hancox, Phil	Cavalry or Calvary?		1991	
	Hancox, Phil	Reconciling 16 debatable biblical subjects			
