Order	Vol	Year	Month	Title	SubTitle	Author	Words	file	link	linklabel
0	121	2025	7							
1	121	2025	7	BWA 2025—Open Day at the Archives		Eric Kopittke				
2	121	2025	7	Baptist Union of Queensland Secretaries W D Grimes, JP 1857‒1937		David Parker				
3	121	2025	7	Rosalie Baptist Church	A Christ-centred Fellowship Since 1884	G Warren Nunn and Susan McQuay				
4	121	2025	7	Interim Ministry	A Much Needed Service, But Has It Seen Its Best Days? (part 1)	David Parker				
5	121	2025	7	2025 Book Launch	A Century of Church Planting in Queensland	Bill Hughes				
6	121	2025	7	2025 Book Launch	City Tabernacle Baptist 170th Anniversary	David Driver				
0	120	2025	3							
1	120	2025	3	Wynnum Baptist’s Building: New Life as Lindum-Mere		Heather Gray (nee Sands) and Susan McQuay 				
2	120	2025	3	Pioneering Church Leaders in Queensland’s First Decade: Part 3		David Parker				
3	120	2025	3	Leitch Family: Lilian, Charles Spurgeon, and John Robert		Bob Rogers and Susan McQuay				
4	120	2025	3	Carinity celebrates 75 years supporting Queenslanders		Lee Oliver				
0	119	2024	11							
1	119	2024	11	Baptist Heritage Queensland Annual Report 2024		Eric Kopittke				
2	119	2024	11	Pioneering Church Leaders in Queensland’s First Decade, part 2		David Parker				
3	119	2024	11	Inside Out Prison Chaplaincy: 1973‒2023		Lee Oliver				
4	119	2024	11	The T.J. Malyon Story … 2004‒2024		Peter Francis and Anne Klose				
0	118	2024	7							
1	118	2024	7	At the Archives: Gold Medal for the Archives!		David Parker				
2	118	2024	7	Pioneering Church Leaders in Queensland’s First Decade		David Parker				
3	118	2024	7	Flashback: GM Hickson						
4	118	2024	7	Humble Beginnings: Brassall Baptist Church		David Parker				
5	118	2024	7	Happy 40th Birthday, Baptist Historical Society of Queensland!						
0	117	2024	3							
1	117	2024	3	Calling Woodwork Restorers!		Editorial				
2	117	2024	3	Baptists in Queensland and the Charismatic Movement Movement Part 7 (section b)		David Parker				
3	117	2024	3	Farewell, QB Magazine		RW Hughes				
4	117	2024	3	ANZAC: Ronald Jack Paine		Darryl Skerman 				
5	117	2024	3	Baptist Snapshot		David Parker				
0	116	2023	11							
1	116	2023	11	Baptist Heritage Queensland Annual Report 2023		Eric Kopittke				
2	116	2023	11	Baptists in Queensland and the Charismatic Movement—Part 7		David Parker				
0	115	2023	8							
1	115	2023	8	‘When the world came to town’ 35 years ago		Editorial				
2	115	2023	8	Baptist Churches and the Big Mandarin 		David Parker				
3	115	2023	8	Where are They Now? 	Expo 88-related Materials and Buildings Bought by QB Churches 	David Parker and Susan McQuay 				
4	115	2023	8	150 Years of Church Buildings Photographs Project Complete		David Parker			https://www.bhsq.org/bhq/forum/f115/sdbc/	Sunnybank District Baptist Church construction photo album
0	114	2023	4							
1	114	2023	4	Anzac 	George Henry Scoones 	Darryl Skerman 				
2	114	2023	4	Anzac	James Johnston, Jnr and His Family	David Driver				
3	114	2023	4	Bunyan in Brisbane	Henry George Cray	David Parker				
4	114	2023	4	Bunyan and Bedford		Noelene Kidd 				
0	113	2022	11							
1	113	2022	11	Congratulations	Editorial	Eric Kopittke				
2	113	2022	11	Elders in Queensland Baptist Churches Turning History Upside Down?		Rev. Dr. David Parker				
0	112	2022	8							
1	112	2022	8	The Importance of Maintaining Denominational Archives 		Pam Condie 				
2	112	2022	8	Humble Beginnings: 	Three active churches circling Brisbane	David Parker 				
3	112	2022	8	Baptist churches and ministers in Queensland 	Trends over the last 20 years 	David Parker 				
0	111	2022	4							
1	111	2022	4	End of an Era		Eric Kopittke				
2	111	2022	4	Baplink — Origins and Backgrounds		David Parker				
