Minister	Years
Abbott, A. Hedley, FRGSA, JP	1923-49
Acason, W.	1929-39
Albury, A. E.	1916-22
Aldridge, F.	1926-42
Allan, James	1912-13
Allan, William	1909-11
Andrews, T. H.#	1946
Ashworth, Thomas E.**	1906-31
Avery, H.	1939-50
Back, A. N.	1950
Bampton, E.R	1916
Barnard, Arthur	1917-41
Barnard, C. V.	1931-48
Barnett, Ezekiel**	1906-23
Bartlett, J.	1931-38
Beck, J.	1946-48
Beeston, R. A. #	1951-55
Bell, William, MA	1911-39
Bickmore, Arthur E.	1907-14
Bird, J. H.#	1941-55
Bird, L. L., LTh	1947-49
Bowring, V. C., LTh#	1946-55
*Brady, A.P.#	1952-55
Brooks, A. H.	1930-55
Brown, R. W., LTh	1947-55
Buckley, E.	1948-55
Bugg, Isaac J.**	1916-25
Bulgin, E.G.	1918-28
Bunn, H. S.	1919-21
Burns, George**	1906-09
Burns, R. A.	1954-55
Butler, A.	1940-46
*Cameron, R.#	1954-55
*Chataway, V. F.#	1950-55
Chechowich, L. S.	1954-55
Chisholm, A. J. W.#	1923-55
Cole, James H.**	1906-14
Cook, J. Wilbur	1955
Crawford, W. E.	1916-19
Cronau, C.	1920-31
Currell, P. R.	1920-27
Daniells, E.	1920
Dart, H. W., BA, DD	1925-36
Dart, S. N.	1928-29
Davidson. A.	1954
Davies, C. Freeman	1929-37
*Davis, C. E.#	1954-55
Davison, E. E.#	1919-55
Denning, E. H.	1923-27
Doull, W. G.	1931-38
Duffle, C. S.	1947-52
*Dunlop, D. A., LTh#	1954-55
Dunshore, G. R.#	1952-55
Durward, G. W., LTh#	1945-55
Eagle, W. A.	1914-15
Earl, S. T.	1929-34
Edwards, E., LTh#	1923-55
Ehmke, E.**	1909-12
Elliott, Howard Leslie **	1906-08
English, J. J.	1941-44
Euston, B.	1948
Evans, E.	1943
Evans, P. J.#	1925-55
Fallon, Dr. R. H.	1925-26
Farquhar, J. C.#	1909-55
Farquhar, R. T.	1939-54
Farrer, Raymond F. J.	1916-17
Ferriday, G.#	1952-55
Fletcher, J. W., LTh	1939-51
Forbes, H. E.	1911
Frewin, R. O.#	1921-55
Gibson, G. N., BD	1936-37
Gilbert, C. D.	1941
Glassop, Stephen**	1916
Goodman, P.	1924-41
Graham, T. M.	1952-55
Gray, E. G.	1924-30
Green, G. A., BA, DipEd	1950-55
Green, J.	1955
Griffiths, Wm.	1914-22
Hare, J. T.	1925
Harris, W. H.	1910
Harrison, J. Pearson	1944-47
Hartin, W. W.	1952-55
Haughan, G.	1931-54
Hawley, A. H., BA	1952-55
Heather, E. F.	1936-41
Heinrich, J.**	1909-35
Hewison, B.	1919-34
Higgs, H. C.	1944-45
Higlett, William**	1906-09
Hill, H. R. G.	1907-29
Hillman, E. E.	1914-23
Hodgson, R. W., BA#	1939-54
Hogg, James W.**	1906-07
Hohnke, B.#	1928-55
Hollywood, L. J.	1928-29
*Holmans, W. K., JP#	1920-55
Horn, A. N.	1936
Horn, R.	1945
Horn, Richard	1912-14
Horswell, S. F.	1948
Howard, A. J. M., LTh#	1938-55
Hudson, W. F.	1912-14
Hughes, J. G., DTheol	1917
Humphreys., D. W.#	1952-55
Hurst, W. E.	1927-33
Jaggers. L. H.	1919-21
Jarrott, R. E., LTh, DipRE#	1946-55
Jarvis, Alfred C.	1910-19
Jarvis, W. L.	1914-21
Jensen, S. R., LTh#	1943-55
Jenyns, J. Willis	1917-18
Johnson, P. A., LTh	1946-55
Johnston, James	1911-40
Jolly, Archibald	1916
Jones, G. Parry	1919-39
Kajewski, C. J.#	1925-55
Keith, E. V.#	1920-55
Kerr, Robert	1914-29
Kirkwood, Neville A., LTh#	1948-55
Kirwood, E. A.	1921-53
*Knights, J. H., LTh	1939-53
Krueger, Carl**	1906-26
Krueger, Otto E.**	1906-07
Lamprecht, L.	1954
*Lane, S., LTh#	1946-55
Lanyon, P. F.	1931-35
Latimer, J. H.	1919-37
Lauchlan, R	1914-15
Law, A. W.	1946-49
Leeder, A. L.	1910-15
Leeder, F. A.	1908-14
Leggett, J. W., LTh	1944-55
Leitch, J. C., LTh	1948-55
Leitch, Thomas**	1906-28
Llewellyn, J. C.	1934-44
Longfield, B. H.	1917
Luton, C. E.	1922-40
Malyon, T. J., FSSc**	1906-20
Marks, E. V., LTh	1948-55
Martin, C. E., BA	1928-47
Masters, Percival J.**	1906-09
McAdam, G. M.	1940-45
McAllister, R. Y.#	1922-55
McColl, Thomas	1912-19
McIntyre, H. L., LTh#	1944-55
McKay, W. A., MA	1942-53
McKecknie, G.#	1938-55
*Mergard, N. W., LTh#	1948-55
Miller, A. E.	1912
Miller, C. L.#	1950-55
Moon, C. J. W.	1910-36
Moore, A. L.	1936-45
Morgans, G. J.	1938-44
Moulton, E. S.	1912-18
Mursell, A. B.	1913-14
Mursell, James, ATS	1909-14
Newell, S.	1916-50
Nicholls, C. H., LTh#	1941-55
*Niebling, R. M.#	1950-55
Nielsen, H.	1927-40
Noble, C. W.	1925-30
Norton, A. P.#	1948-52
Olcowich, B.	1954-55
Orthner, Franz**	1907-10
Page, Horace	1914
Page, William**	1906
Parish, G.S., LTh	1947-54
Parker, Gray A.#	1918-55
Paterson, D.	1952
Peck, G. W., LTh#	1949-55
Peck, M.E.	1951-55
Peffer, F. E.	1926-32
Pell, F. J.	1923-35
Plowes, R.	1912-13
Poole, William**	1906-12
Pope, W. G.	1916-26
Potter, S. M., ED	1932-39
Probert, J. T., LTh#	1937-55
Putland. H. J.	1920-22
Read, R. R.	1943
Reekie, W. G.	1921-23
Rice, George Millar**	1906-08
Richer, William**	1906-24
Robertson, Robert**	1906-13
Rodger, William	1912-13
Rogers, E. J.	1927-35
Rolls, G. C.	1940-45
Saunders, H. E.	1908-55
Sayce, Ralph	1910-55
Schmidt, R. G.	1926-30
Scully, W. J.	1928-32
Seaton, H. T.	1952-55
Shakespeare, L. H.	1938-55
Shaw, A. D.**	1906-15
Shaw, Wm.	1915-20
Short, E. S.	1911-13
Simpson, H. H.	1922-35
*Skinner, L. F.#	1951-55
Smith, A. E.	1920-21
Smith, F.T.#	1948-55
Smith, R. F.	1931-40
Solomon, W. W.#	1937-55
Speis, S. E.	1922
Stephens, John B.**	1906-07
Stone, F. J. C., BA#	1941-55
Stowards, R.	1920-23
Sullivan, J. F.#	1948-55
Symonds, Thos. U.**	1906-36
Tough, J. T., LTh	1942-53
Tranter, L. E.	1916
Van Cooten, G. T.	1950
Varnes, F. H.#	1936-42
Vines, M. L.#	1952-55
*Wakeling, R. T., LTh	1947-55
Walker, J.	1952-55
Walker, R. G.#	1939-55
Walton, John E.**	1906-09
*Ward, J.C.W.#	1954
Ward, T. H., LTh	1934-49
Warren, Charles H. J.**	1906-07
Warriner, T. C., MA, BD#	1937-55
Waters, W. W.	1942-46
*Wedd, R. T.	1952-55
Weller, A. G., OBE, ED**	1906-38
Weller, J. J.	1914-21
*West, H. E. BA, LTh#	1947-55
*Weston, N. E.#	1955
Whale, A. T.	1943-45
White, Hilton D.	1939-45
White, Horace, LTh	1930-55
White, J. E., B.A., LTh#	1929-55
Whittle, W. H.	1923-24
Williams, F. D.#	1951-55
Wilson, B. M.	1947-50
Windolf, Herman**	1906-08
Wingfield, W. H.	1916-22
*Wolter, P. C.#	1950-55
Wright, Harry	1911-13
