"Reference","Photo_No","ImgBox","DigitalID","Date_Added","Source","Date","Subject","Notes","Details","Creator","Location","Dimensions","Condition","Format","Copyright","Seq_No","e18","e19"
"00180","180","8","DF00259","","","","Maryborough Baptist Church","","Interior view of church showing pulpit, stage and organ","Photographer unknown","Maryborough","18.0x14.5cm broken part of photo","Very poor and partial only","","","1","",""
"00683","683","1","DF00459","","","","Toowong Baptist Church - B & W photo","","Early B & W photo of the church","Unknown","Brisbane","10.8x8.6cm","Stain on surface","","","2","",""
"00137-26","137-26","3A","DF00114","","","September 1903","Album of Photographs","","Rev James Mursell","Photographer unknown","Brisbane","18.6x13.5cm","Some marks on face of photo, otherwise in reasonable codition","Tif","","3","",""
"00877O","877O","10","DF00398","","","","Baptist Theological College class","","Principal Bell, officials and students - Year unknown","Photographer unknown","Brisbane","18.3x13.5cm","Some marks and fading but photo clear","","","4","",""
"00025","025","3A","DF00113","","","1900","City Tabernacle deacons","album","City Tabernacle Deacons 1900 - Front: T E White, S Price, H G Cray, E Lethem, J A Goldsmith. Back: G Hiron, T Budd, W H Bush, W R Smith, J C Keith, W Prideaux, J B McKenzie.","Photographer unknown","Brisbane","18.7x12.7 cm","Sepia very faded","","","5","",""
"00023","023","3A","DF00111","","","1896","Mead Rev Silas: in Brisbane","album","Rev Silas Mead of Sth Aust with Brisbane pastors in 1896: Standing - W Higlett, J Alexander, T Leitch, A G Weller.  Seated: W Moore, S Mead, J B Sneyd, W Whale, J Kingsford.","Photographer unknown","Brisbane","19.0x12.8 cm","Sepia slightly faded","","","6","",""
"00024","024","3A","DF00112","","","1900","Baptist Union of Victoria","album","Baptist Union of Victoria Annual Assembly 1900 with visitors from other States","Photographer unknown","Collins Street Church, Melbourne","27.3x14.1 cm","Sepia slightly faded","","","7","",""
"00137-22","137-22","3A","DF00110","","","1890","Album of Photographs","","Mr W R Smith","Photographer unknown","Brisbane","23.2x16.7cm","Sepia - good","Tif","","8","",""
"00137-35","137-35","3A","DF00125","","","September 1911","Album of Photographs","","Rev T U Symonds","Photographer unknown","Brisbane - City Tabernacle front steps","20.0x14.7cm","Sepia - Good","Tif","","9","",""
"00137-21","137-21","3A","DF00109","","","1885","Album of Photographs","","Rev W Richer","Photographer unknown","Brisbane","23.5x17.0cm","Sepia - fair","Tif","","10","",""
"00137-23","137-23","3A","DF00111","","","1896","Album of Photographs","","Rev J E Walton","Photographer unknown","Brisbane","19.2x12.7cm","Sepia - fair","Tif","","11","",""
"00137-24","137-24","3A","DF00112","","","1900","Album of Photographs","","Rev E Barnett","Photographer unknown","Collins Street Baptist Church, Melbourne","27.2x14.5cm","Sepia - fair","Tif","","12","",""
"00137-25","137-25","3A","DF00113","","","1900","Album of Photographs","","Mr E J T Barton","Photographer unknown","Brisbane","18.7x12.7cm","Sepia - fair","Tif","","13","",""
"00033","033","3A","DF00122","","","1907","City Tabernacle decorated for memorial service to the late Queen Victoria Feb 2 1907","album","View of pulpit and choir stalls area of the church","Photographer unknown","Brisbane","19.0x13.4 cm","Sepia - faded poor condition","","","14","",""
"00137-20","137-20","3A","DF00108","","","24 May 1877","Album of Photographs","","Rev W Poole","Photographer unknown","Brisbane","23.2x16.5cm","Sepia - faded","Tif","","15","",""
"00137-33","137-33","3A","DF00123","","","2 January 1907","Album of Photographs","","Rev Ralph Sayce","Photographer unknown","Brisbane","19.0x1.2cm","Sepia - Faded","Tif","","16","",""
"00157","157","5","DF00202","","","","Brighton Baptist Church - folio","Scrap book of church activities including photos","","Unknown","Various locations","various small","Scrap book in poor condition","","","17","",""
"00174","174","8","DF00253","","V Dean","1972","Taringa Baptist Church - group Christmas 1972","","Large group of people in front of the church building","V Dean","Taringa","21.5x12.6cm","Reasonably clear but has some damage to top","","","18","",""
"00692","692","1","DF00471","","","1968","Foundation members of the Cannon Hill B C 8 December 1968","","Constitution of Cannon Hill BC as a church of the BUQ - Foundation members on steps to the churhc building","Unknown","Cannon Hill","12.7x9.0cm","Reasonable quality B & W photo","","","19","",""
