View	Location	Denom	Name	Date
2083	Acacia Ridge	B	Acacia Ridge District Baptist Church	1966
2628	Agnes Water	B	Agnes Water/1770 Baptist Church	1993
6377	Aitkenvale	B	Aitkenvale Baptist Church	1965
2084	Albany Creek	B	South Pine Community Church	1981
2477	Albion	B	Albion Baptist Church	1883
6218	Allora	B	Allora Baptist Church	1950
381	Annerley	B	Thompson Estate Baptist	1885
2085	Annerley	B	Annerley Baptist Church	1965
6325	Annerley	B	Annerley Baptist Church	1935
2662	Araluen (Gympie)	B	Gympie Baptist Church	2000
2668	Arana Hills	B	The Hills Christian Family	1984
2092	Ascot	B	Clayfield Baptist Church	1891
6157	Ascot (Clayfield)	B	Clayfield Baptist Church	1874
6159	Ascot (Clayfield)	B	Clayfield Baptist Church	1964
2086	Ashgrove	B	Ashgrove Baptist Church	1989
2676	Ashgrove	B	Ashgrove Baptist Church	1940
2683	Atherton	B	Atherton Tablelands Baptist Church	1969
2697	Ayr	B	Burdekin Baptist Church	1967
2088	Banyo	B	Banyo Baptist Church	1967
6323	Baree	B	Baree Baptist Church	1912
2725	Bargara	B	Coral Coast Christian Church	1996
292	Beaudesert	B	Beaudesert Baptist Church	1897
2734	Beaudesert	B	Beaudesert Baptist Church	1950
2742	Beenleigh	B	Beenleigh & District Baptist Church	1979
2750	Beerwah	B	Glasshouse Country Baptist Church	1988
6389	Beerwah	B	Beerwah Baptist Church	1957
6329	Berserker (North Rockhampton)	B	North Rockhampton Baptist Church	1936
6169	Berserker (Rockhampton)	B	Clifton Street Baptist Church	1913
6170	Berserker (Rockhampton)	B	North Rockhampton Baptist Church	1972
2781	Biloela	B	Biloela District Baptist Church	1987
6083	Biloela	B	Biloela Baptist Church	1955
2790	Birkdale	B	Birkdale Baptist Church	1995
2800	Blackwater	B	Blackwater Baptist Fellowship	1975
6411	Blenheim	B	Blenheim German Baptist Church	1907
6412	Blenheim	B	Blenheim German Baptist Church	1899
6834	Blenheim	B	Blenheim German Baptist Church	1892
2814	Bongaree	B	Bribie Island Baptist Church	1982
2822	Boonah	B	Boonah Baptist Church	1965
6592	Boonah	B	Boonah Baptist Church	1927
6593	Boonah	B	Boonah Baptist Church	1887
2842	Bowen	B	Bowen Baptist Church	1980
2089	Bracken Ridge	B	Bracken Ridge Baptist Church	1988
2859	Brassall	B	Beacon Community Church	1973
2865	Bray Park	B	Rivers Baptist Church	1990
6093	Bray Park	B	Lawnton Baptist Church	1968
2869	Bridgeman Downs	B	Bridgeman Baptist Community Church	2000
2113	Brighton	B	Brighton Baptist Church	1958
6297	Brighton	B	Brighton Baptist Church	1949
386	Brisbane	B	Baptist Chapel	1858
6363	Broadbeach	B	Broadbeach Baptist Church	1958
2889	Buderim	B	Lifepointe Baptist Church	2001
2087	Bulimba	B	Carey Baptist Church	1960
6305	Bulimba	B	Bulimba Bapist Church	1862
6311	Bulimba	B	Bulimba Bapist Chapel	1886
6351	Bundaberg	B	Bundaberg Baptist Church	1955
